"Id","MSSubClass","MSZoning","LotFrontage","LotArea","Street","LotShape","LandContour","Utilities","LotConfig","LandSlope","Neighborhood","Condition1","BldgType","HouseStyle","OverallQual","OverallCond","YearBuilt","YearRemodAdd","RoofStyle","MasVnrType","MasVnrArea","ExterQual","ExterCond","Foundation","BsmtQual","BsmtCond","BsmtExposure","BsmtFinType1","BsmtFinSF1","BsmtFinType2","BsmtFinSF2","BsmtUnfSF","TotalBsmtSF","Heating","HeatingQC","CentralAir","Electrical","X1stFlrSF","X2ndFlrSF","LowQualFinSF","GrLivArea","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","KitchenQual","TotRmsAbvGrd","Functional","Fireplaces","GarageType","GarageYrBlt","GarageFinish","GarageCars","GarageArea","GarageQual","GarageCond","PavedDrive","WoodDeckSF","OpenPorchSF","EnclosedPorch","X3SsnPorch","ScreenPorch","PoolArea","MiscVal","MoSold","YrSold","SaleType","SaleCondition","SalePrice"
250,"50","RL",69,159000,"Pave","IR2","Low","AllPub","CulDSac","Sev","ClearCr","Norm","1Fam","1.5Fin",6,7,1958,2006,"Gable","BrkCmn",472,"Gd","TA","CBlock","Gd","TA","Gd","Rec",697,"Unf",0,747,1444,"GasA","Gd","Y","SBrkr",1444,700,0,2144,0,1,2,0,4,1,"Gd",7,"Typ",2,"Attchd",1958,"Fin",2,389,"TA","TA","Y",0,98,0,0,0,0,500,6,2007,"WD","Normal",2.52826724215391
818,"20","RL",69,13265,"Pave","IR1","Lvl","AllPub","CulDSac","Gtl","Mitchel","Norm","1Fam","1Story",8,5,2002,2002,"Hip","BrkFace",148,"Gd","TA","PConc","Gd","TA","No","GLQ",1218,"Unf",0,350,1568,"GasA","Ex","Y","SBrkr",1689,0,0,1689,1,0,2,0,3,1,"Gd",7,"Typ",2,"Attchd",2002,"RFn",3,857,"TA","TA","Y",150,59,0,0,0,0,0,7,2008,"WD","Normal",2.52651826046829
559,"60","RL",57,21872,"Pave","IR2","HLS","AllPub","FR2","Gtl","Gilbert","Norm","1Fam","2Story",7,5,1996,1997,"Gable","None",0,"TA","TA","PConc","Gd","TA","Gd","GLQ",604,"Unf",0,125,729,"GasA","Ex","Y","SBrkr",729,717,0,1446,0,1,2,1,3,1,"TA",6,"Typ",1,"Attchd",1996,"Unf",2,406,"TA","TA","Y",264,22,0,0,0,0,0,8,2008,"WD","Normal",2.4909335558569
1127,"120","RL",53,3684,"Pave","Reg","Lvl","AllPub","Inside","Gtl","Blmngtn","Norm","TwnhsE","1Story",7,5,2007,2007,"Hip","BrkFace",130,"Gd","TA","PConc","Gd","TA","No","Unf",0,"Unf",0,1373,1373,"GasA","Ex","Y","SBrkr",1555,0,0,1555,0,0,2,0,2,1,"Gd",7,"Typ",1,"Attchd",2007,"Fin",3,660,"TA","TA","Y",143,20,0,0,0,0,0,6,2009,"WD","Normal",2.49045875646239
411,"20","RL",68,9571,"Pave","Reg","Lvl","AllPub","Inside","Gtl","Edwards","Norm","1Fam","1Story",5,3,1958,1958,"Gable","None",0,"TA","Fa","CBlock","TA","Fa","No","Unf",0,"Unf",0,1276,1276,"GasA","TA","Y","FuseA",1276,0,0,1276,0,0,1,0,3,1,"TA",5,"Mod",0,"Attchd",1958,"Unf",1,350,"TA","TA","Y",0,0,0,0,0,0,0,6,2009,"COD","Abnorml",2.39808614923523
304,"20","RL",70,9800,"Pave","Reg","Lvl","AllPub","Corner","Gtl","CollgCr","Norm","1Fam","1Story",5,7,1972,1972,"Gable","None",0,"TA","TA","PConc","TA","TA","No","ALQ",894,"Unf",0,0,894,"GasA","TA","Y","SBrkr",894,0,0,894,1,0,1,0,3,1,"TA",5,"Typ",0,"Attchd",1975,"Unf",2,552,"TA","TA","Y",256,0,0,0,0,0,0,7,2006,"WD","Abnorml",2.47802667730108
312,"20","RL",50,8000,"Pave","Reg","Lvl","AllPub","Inside","Gtl","NAmes","Norm","1Fam","1Story",6,6,1948,2002,"Gable","None",0,"TA","Gd","CBlock","TA","TA","No","ALQ",680,"Unf",0,292,972,"GasA","Ex","Y","SBrkr",972,0,0,972,1,0,1,0,2,1,"TA",5,"Typ",1,"Detchd",1948,"Unf",1,240,"TA","TA","Y",0,0,0,0,0,0,0,5,2009,"WD","Normal",2.46729897395573
889,"20","RL",95,15865,"Pave","IR1","Lvl","AllPub","Inside","Mod","NAmes","Norm","1Fam","1Story",8,6,1970,1970,"Flat","None",0,"Gd","Gd","PConc","TA","Gd","Gd","ALQ",351,"Rec",823,1043,2217,"GasA","Ex","Y","SBrkr",2217,0,0,2217,1,0,2,0,4,1,"Gd",8,"Typ",1,"Attchd",1970,"Unf",2,621,"TA","TA","Y",81,207,0,0,224,0,0,10,2007,"WD","Normal",2.52562802000524
1146,"50","RM",52,6240,"Pave","Reg","Lvl","AllPub","Inside","Gtl","BrkSide","Norm","1Fam","1.5Fin",5,6,1928,1950,"Gable","None",0,"TA","TA","BrkTil","TA","TA","No","Unf",0,"Unf",0,1042,1042,"GasA","Ex","Y","SBrkr",1042,534,0,1576,0,0,1,0,3,1,"TA",8,"Typ",1,"Detchd",1928,"Unf",1,225,"TA","TA","Y",0,0,0,0,0,0,0,8,2006,"WD","Family",2.47752124343322
1029,"50","RL",79,9492,"Pave","Reg","Lvl","AllPub","Inside","Gtl","NAmes","Artery","1Fam","1.5Fin",5,5,1941,1950,"Gable","None",0,"TA","TA","CBlock","TA","TA","No","Rec",368,"BLQ",41,359,768,"GasA","TA","Y","SBrkr",968,408,0,1376,1,0,1,0,3,1,"TA",6,"Typ",1,"Attchd",1941,"Unf",1,240,"TA","TA","Y",0,0,0,0,0,0,0,4,2007,"WD","Normal",2.44769926305766
1457,"20","RL",85,13175,"Pave","Reg","Lvl","AllPub","Inside","Gtl","NWAmes","Norm","1Fam","1Story",6,6,1978,1988,"Gable","Stone",119,"TA","TA","CBlock","Gd","TA","No","ALQ",790,"Rec",163,589,1542,"GasA","TA","Y","SBrkr",2073,0,0,2073,1,0,2,0,3,1,"TA",7,"Min1",2,"Attchd",1978,"Unf",2,500,"TA","TA","Y",349,0,0,0,0,0,0,2,2010,"WD","Normal",2.50592282227846
